experience,country,education,languages,frameworks,company_size,salary_usd
NA,USA,Bachelors,"Rust, Go","Angular, React",201-1000,130047
10,USA,Bachelors,"C++, C#","Flask, React",201-1000,
37,India,Masters,"Python, C++","Spring, Django",11-50,119453
,USA,Masters,"JavaScript, Swift","Angular, Ruby on Rails",1001-5000,115367
-2,USA,Some College,"C#, Python","Angular, Express",51-200,105276
36,USA,Bachelors,"C++, C#","Flask, Spring",51-200,
12,UK,,,"Flask, Vue",1001-5000,95106
39,Germany,Bachelors,"Java, Java","ASP.NET, Laravel",11-50,163340
37,Germany,Bachelors,"Python, PHP","Spring, Django",1-10,201048
0,Germany,Bachelors,"JavaScript, PHP","React, Django",1-10,66084
36,USA,Bachelors,"C#, Rust","Laravel, Laravel",1001-5000,228217
40,USA,Bachelors,"PHP, Java","Flask, Ruby on Rails",11-50,249907
27,USA,Bachelors,"Go, C++","ASP.NET, Spring",1-10,181217
2,UK,Masters,"C#, Go","Vue, Flask",1001-5000,62255
26,Germany,Bachelors,"C++, Swift","ASP.NET, Express",1001-5000,153813
29,USA,Bachelors,"C#, JavaScript",,201-1000,200308
23,USA,Bachelors,"Java, JavaScript","Laravel, Express",1001-5000,140256
11,USA,Bachelors,"Ruby, C++","Laravel, Spring",11-50,124264
39,United States,Bachelors,"Swift, Ruby","Ruby on Rails, Ruby on Rails",51-200,234983
25,U.S.A.,Bachelors,"Swift, Python",,1-10,149169
27,Japan,Masters,"PHP, Rust","Express, Vue",1001-5000,167696
23,Canada,Bachelors,"Python, Python","Laravel, Ruby on Rails",5000+,116833
40,USA,Bachelors,"PHP, Go","Laravel, Angular",11-50,198773
8,UK,Masters,"C#, Ruby","Angular, Vue",201-1000,104912
16,USA,Masters,"Swift, Java","ASP.NET, ASP.NET",51-200,168085
19,India,Bachelors,"JavaScript, Swift","Angular, ASP.NET",1-10,58027
8,Singapore,Some College,"Go, Rust","Flask, React",1-10,
31,USA,Masters,"PHP, Swift","Vue, Flask",201-1000,177317
40,Germany,Bachelors,"JavaScript, Ruby","Ruby on Rails, Django",1-10,148823
14,USA,Masters,"Ruby, JavaScript","Flask, ASP.NET",1001-5000,119897
28,India,Some College,,"Laravel, Django",11-50,98976
2,USA,Bachelors,"Go, C++","ASP.NET, Laravel",11-50,84646
34,USA,Bachelors,,"Ruby on Rails, Laravel",11-50,199636
29,India,Masters,,"Express, Angular",5000+,112538
23,USA,Masters,,"Spring, Laravel",1001-5000,NaN
17,Brazil,Bachelors,"JavaScript, JavaScript","Vue, Ruby on Rails",51-200,94474
4,India,Bachelors,"Ruby, PHP","Ruby on Rails, React",1-10,21747
15,USA,Masters,"Python, C#","Django, Vue",1001-5000,149061
7,USA,Bachelors,"Python, Rust","Django, ASP.NET",51-200,132228
38,France,Bachelors,,"Flask, Spring",1-10,160032
32,USA,,"JavaScript, Python","Express, Angular",51-200,175024
5,France,Bachelors,"Python, C++","Vue, Django",1-10,
2,USA,Masters,"PHP, Python","React, React",201-1000,NaN
26,USA,Incomplete,"JavaScript, PHP","Angular, Laravel",1001-5000,146434
29,Canada,Some College,"Swift, JavaScript","Django, React",5000+,170026
,Canada,Bachelors,"JavaScript, C++","Vue, Vue",51-200,107936
12,USA,Bachelors,"Go, C#","Angular, Vue",1-10,146286
1,USA,Masters,"Ruby, Go","ASP.NET, React",1001-5000,116805
12,Germany,Bachelors,,"Flask, ASP.NET",1001-5000,95729
3,USA,,"C++, C#","Ruby on Rails, Spring",1001-5000,89286
32,UK,Bachelors,"PHP, C#","Ruby on Rails, ASP.NET",1-10,172588
1,USA,,"C++, Java","Express, Express",201-1000,122686
24,USA,Masters,"C++, C++","Flask, Flask",5000+,157418
11,  India  ,Bachelors,,"Angular, Flask",1-10,43441
40,Germany,Bachelors,"Swift, Java","Flask, React",201-1000,198757
6,UK,Masters,"Java, Java",,11-50,95184
11,USA,Masters,"Go, C#","Angular, Vue",5000+,135670
12,Japan,Some College,"C#, C++","Flask, Angular",51-200,86484
36,Canada,PHD,"Swift, Ruby","React, ASP.NET",1001-5000,169311
30,Canada,Bachelors,"Go, C++","Laravel, Spring",1-10,165660
2,Australia,Bachelors,"Ruby, Swift","Angular, Ruby on Rails",1-10,61244
2,  Japan  ,Masters,"Python, C++","Angular, Flask",11-50,78956
23,France,Bachelors,"Go, Java","Angular, Angular",1-10,137182
14,USA,Some College,"C#, Python","Django, Spring",5000+,118078
26,Canada,Masters,"Rust, C++","Spring, Spring",11-50,144199
23,Japan,High School,"Python, PHP","Angular, Angular",51-200,104855
25,France,Bachelors,"Python, C#","Vue, Spring",1-10,120322
26,Australia,High School,"Go, Java","ASP.NET, Angular",1-10,151281
12,Germany,Masters,"Python, Java","React, Express",11-50,119457
29,Canada,PhD,"Python, Ruby","React, Vue",201-1000,187885
9,UK,PhD,"Java, PHP","Spring, React",1-10,126336
17,Singapore,Bachelors,"Java, Ruby","Vue, Spring",51-200,104575
5,USA,Masters,"PHP, C#","Flask, Ruby on Rails",11-50,
7,USA,Bachelors,"Java, Go","React, Angular",1001-5000,118836
27,Germany,Masters,"Java, Swift","Angular, ASP.NET",1001-5000,146565
,USA,Bachelors,"JavaScript, C++","Ruby on Rails, React",201-1000,168616
19,USA,Bachelors,,"Flask, Flask",1001-5000,158367
32,France,,"Go, JavaScript","Flask, Ruby on Rails",51-200,131433
24,Canada,Masters,"Go, Swift","Ruby on Rails, Express",1-10,147477
17,Canada,Masters,"Swift, Python","Django, Angular",201-1000,122026
32,uk,Some College,"Swift, Go","Spring, Flask",201-1000,128853
1,Canada,Bachelors,"C++, C#","Ruby on Rails, Flask",5000+,75609
21,Germany,Some College,"Python, JavaScript","Django, Express",1001-5000,137139
1,USA,Some College,"JavaScript, Ruby","Django, Django",201-1000,101567
2,Germany,Masters,"PHP, Go","ASP.NET, ASP.NET",51-200,82221
2,USA,Bachelors,"C++, PHP","Ruby on Rails, Express",11-50,111294
1,Japan,Masters,"JavaScript, JavaScript","Angular, Angular",1-10,70394
26,Singapore,Bachelors,"Ruby, C++","Vue, Django",5000+,127654
8,Germany,Bachelors,,"Ruby on Rails, Laravel",11-50,100034
23,Japan,  Some College  ,"Go, Rust","Laravel, Angular",1-10,110506
16,Canada,Masters,"Ruby, Python","Spring, Vue",51-200,108008
13,India,Bachelors,"Python, Ruby","Vue, Vue",51-200,
35,Canada,Bachelors,"Python, Go",,51-200,181938
,France,  Bachelors  ,"C++, JavaScript","Laravel, Flask",1-10,81644
25,USA,Bachelors,"JavaScript, Swift","Express, Django",5000+,203119
7,canada,Masters,"Rust, C#","Vue, Express",51-200,-47000
0,USA,Bachelors,"C++, C++","Express, Express",1001-5000,97707
8,India,,"Java, JavaScript","Django, Laravel",201-1000,36354
12,India,Bachelors,"Ruby, PHP","Express, Django",201-1000,55420
6,USA,PhD,"C#, Java","Flask, Vue",51-200,
20,Germany,Bachelors,"Rust, C#","Flask, Vue",1-10,104344
8,India,Bachelors,"Rust, PHP","Laravel, Ruby on Rails",1001-5000,36926
23,Canada,Masters,"C++, Python","React, ASP.NET",1001-5000,158562
34,Canada,Bachelors,"C++, Ruby","Spring, Laravel",1-10,177364
35,USA,Bachelors,"Swift, Java","Laravel, Angular",5000+,197653
8,USA,Bachelors,"Rust, Go","Vue, Flask",5000+,137832
33,Canada,Bachelors,"Rust, PHP","Laravel, Laravel",51-200,138731
6,USA,Bachelors,"JavaScript, JavaScript","Laravel, Flask",1-10,110283
17,Canada,Some College,,"Laravel, Spring",201-1000,99621
5,UK,Bachelors,"C#, JavaScript","Ruby on Rails, Ruby on Rails",51-200,63368
2,Germany,,,"Vue, Angular",5000+,99676
31,Germany,Bachelors,"Python, JavaScript","Angular, Angular",201-1000,178875
21,Singapore,Masters,"Rust, PHP","Laravel, Vue",1-10,114359
17,USA,Masters,"Go, PHP","React, Django",51-200,143157
20,USA,High School,"Java, Python","Vue, Vue",51-200,147049
38,Germany,Masters,"C#, Java","ASP.NET, Spring",201-1000,159788
34,Brazil,Bachelors,"Python, JavaScript","Laravel, Angular",1-10,620053
36,Australia,,"Rust, Swift","React, Ruby on Rails",5000+,151195
3,Singapore,Bachelors,"Java, Swift","React, Vue",1001-5000,48207
26,France,Masters,"Java, Ruby","ASP.NET, Spring",51-200,119321
9,USA,Masters,"C++, Swift","Flask, Laravel",1001-5000,
3,France,PhD,"Swift, Ruby","Vue, Flask",5000+,80108
28,USA,PhD,"Swift, Rust","Flask, React",51-200,211110
18,Japan,Masters,"Ruby, Rust","Spring, ASP.NET",51-200,118858
33,India,,"C#, PHP","Django, Django",5000+,128569
40,United States,Masters,"C++, JavaScript","Express, Laravel",201-1000,198340
37,USA,Bachelors,"Java, Python","Spring, Flask",11-50,164213
33,USA,Bachelors,"Python, Python","Angular, Vue",5000+,202503
24,USA,,"Java, Python","Spring, Spring",51-200,169019
31,USA,Masters,"C#, Swift","Spring, Express",1-10,736384
38,USA,Masters,"JavaScript, C#","Spring, Laravel",11-50,178476
20,India,Bachelors,"Swift, Java","Express, Express",11-50,73552
9,India,Bachelors,"Swift, Ruby",,1001-5000,35052
30,Germany,Masters,"PHP, Java","Flask, ASP.NET",201-1000,
14,Germany,Bachelors,"C++, JavaScript","Ruby on Rails, ASP.NET",5000+,114968
11,Japan,Masters,"Python, Python","ASP.NET, Ruby on Rails",1001-5000,94975
1,Germany,Bachelor's,"C++, Java","React, Angular",11-50,54679
18,USA,Some College,"PHP, Ruby","React, Spring",5000+,170215
26,Germany,Bachelors,"Ruby, Go","React, Angular",201-1000,149341
37,USA,Masters,"C#, C#","Laravel, ASP.NET",201-1000,213251
2,USA,Bachelors,"C++, Swift","React, Ruby on Rails",11-50,79808
4,UK,Some College,"Rust, Swift","Laravel, Spring",201-1000,70940
16,Germany,Masters,"Rust, Ruby","React, Ruby on Rails",1-10,126311
4,Canada,,"C++, JavaScript","Django, Angular",1-10,86712
3,USA,Bachelors,"Java, C#","Vue, Angular",11-50,
11,Canada,bachelors,,,201-1000,102631
12,India,Masters,"PHP, Java","Ruby on Rails, Express",5000+,74362
7,UK,Bachelors,,"Flask, React",5000+,80472
7,France,Bachelors,"Go, C++","Spring, Angular",1001-5000,
6,Australia,Bachelors,"Rust, Go","Flask, ASP.NET",1001-5000,-
18,Canada,Masters,"C#, Swift","Vue, ASP.NET",5000+,113566
17,Brazil,,"Swift, PHP","Flask, Express",5000+,124866
26,USA,Bachelors,"Ruby, Python","React, React",1-10,189923
3,France,bachelors,"Rust, C++","Express, Flask",1-10,67049
33,USA,Masters,"C#, Swift",,51-200,219425
6,USA,Masters,"Ruby, Rust","Laravel, ASP.NET",11-50,107449
28,USA,Masters,"C++, C#","React, Django",1-10,191303
20,India,Masters,"Swift, Python","Spring, React",201-1000,74196
5,Canada,Masters,"Python, Swift","ASP.NET, Ruby on Rails",1001-5000,96939
33,USA,Masters,"Swift, Go","React, Django",11-50,
22,USA,Bachelors,,"Laravel, Ruby on Rails",51-200,181101
5,UK,Bachelors,"PHP, C#","Flask, Spring",201-1000,64607
13,USA,Bachelors,"PHP, Swift","Express, Express",11-50,110290
33,Australia,Bachelors,"Swift, Rust","ASP.NET, ASP.NET",1-10,160401
38,India,Masters,"Rust, JavaScript",,51-200,140975
31,USA,  Bachelors  ,"JavaScript, C#","Express, Angular",51-200,182498
40,Canada,Bachelors,"Swift, C++","ASP.NET, ASP.NET",5000+,169562
,France,Masters,"Swift, JavaScript","ASP.NET, Flask",11-50,100267
38,USA,,"Python, Python","Spring, Express",201-1000,214812
29,Australia,Bachelors,"Ruby, PHP","Angular, ASP.NET",5000+,
40,USA,Bachelors,"Java, Python","Django, Express",51-200,202438
11,Canada,Masters,"C#, C#","Ruby on Rails, Vue",51-200,89338
40,USA,Bachelors,"JavaScript, Rust","React, Django",11-50,186121
6,USA,PhD,"PHP, Rust","Laravel, ASP.NET",201-1000,109228
,USA,Bachelors,"Swift, Ruby","Django, Angular",1001-5000,134891
6,UK,Masters,"C#, Java","Angular, ASP.NET",201-1000,94929
34,France,Masters,,"React, Angular",11-50,183933
14,India,Bachelors,"JavaScript, Java","Vue, Express",11-50,46083
36,Singapore,Masters,"Python, Java","Express, Express",11-50,188707
32,Japan,Bachelors,"Python, Rust","Spring, Express",1-10,175135
39,USA,,"Python, C#","Django, Flask",5000+,228076
9,Canada,Masters,"Go, JavaScript","Express, Vue",1-10,84973
,USA,Masters,"C#, Swift","Django, Spring",1-10,196220
26,USA,Masters,"Java, Ruby","Angular, Vue",51-200,157524
22,Canada,Bachelors,"Swift, Swift","Spring, Spring",201-1000,144226
25,USA,Bachelors,,"React, Spring",1001-5000,182725
31,USA,Masters,"Rust, Go",,1001-5000,174750
20,USA,Masters,"C++, JavaScript","ASP.NET, Django",11-50,176418
24,France,,"C++, Ruby",,51-200,130272
12,France,,"JavaScript, Python","Flask, Django",1-10,99123
22,Canada,Bachelors,"C#, JavaScript","Flask, Ruby on Rails",1001-5000,NaN
3,Germany,Bachelors,"Ruby, C#",,51-200,78891
35,Germany,Bachelors,"Python, Swift","Laravel, Ruby on Rails",11-50,-43274
22,Germany,High School,,"Django, Django",11-50,137472
17,Singapore,Bachelors,"C#, C++","Ruby on Rails, React",11-50,100648
23,France,Masters,"Swift, Swift","ASP.NET, Django",51-200,131142
39,Germany,Bachelors,"C++, Python","Flask, Vue",1-10,194864
32,USA,Masters,"JavaScript, PHP","React, React",11-50,210164
40,USA,Bachelors,"Python, JavaScript","Express, Laravel",11-50,230955
17,Japan,Some College,"Java, Java","Flask, Express",5000+,98874
36,Canada,Bachelors,"C#, Ruby","Ruby on Rails, Angular",51-200,142733
8,USA,Bachelors,"Ruby, C#","Express, Django",1-10,94332
,USA,Masters,"PHP, Go","Django, Vue",11-50,136513
27,USA,Masters,"JavaScript, Python","ASP.NET, ASP.NET",51-200,198952
6,USA,Masters,"Ruby, Rust","React, Django",201-1000,134805
18,Canada,Bachelors,"Go, Go","Vue, Spring",1-10,105631
21,Brazil,Bachelors,"Python, Rust","Django, Vue",1001-5000,102918
13,UK,Masters,"C#, Python","Ruby on Rails, React",51-200,110067
,India,Bachelors,"PHP, Swift","Django, Spring",1-10,55805
31,USA,Bachelors,,"Express, Laravel",11-50,207492
12,Japan,Bachelors,"Ruby, Ruby","Flask, ASP.NET",11-50,91045
20,India,Bachelors,"Python, Swift","Vue, React",1-10,
27,USA,Masters,"C#, Java","ASP.NET, Laravel",5000+,
34,Australia,Bachelors,,"Laravel, Angular",1-10,180861
25,USA,PhD,,"React, Ruby on Rails",51-200,193091
4,UK,Some College,"PHP, C++","Laravel, Express",51-200,61384
12,UK,Bachelors,"Go, C++","Express, Vue",1-10,85372
NA,USA,Bachelors,"JavaScript, Python","Flask, Express",11-50,
13,USA,Bachelors,"PHP, C++","Vue, React",51-200,108400
40,UK,Some College,"PHP, Java","Laravel, Vue",1-10,156947
5,France,Bachelors,"JavaScript, Python","Express, Ruby on Rails",1001-5000,66590
19,USA,Bachelors,"JavaScript, C++","ASP.NET, Express",1-10,173576
24,USA,Masters,"Go, JavaScript","Django, Spring",1-10,176083
39,UK,,"Python, JavaScript","Laravel, Django",1001-5000,186228
35,  UK  ,Bachelors,"Swift, C#","ASP.NET, ASP.NET",11-50,147437
34,UK,Masters,"Rust, Swift","Flask, Flask",51-200,169518
34,USA,Bachelors,"Rust, Ruby","Laravel, ASP.NET",51-200,209026
34,UK,Bachelors,"Python, Ruby","Django, Spring",5000+,197515
13,UK,some college,"PHP, Rust","React, Flask",51-200,94598
34,USA,Masters,"Python, Python","Laravel, React",11-50,240542
20,USA,,"C++, Java","Vue, Express",1001-5000,149990
29,USA,Bachelors,"Ruby, C#",,11-50,212346
21,Germany,Bachelor's,"Python, Ruby","React, ASP.NET",1-10,116850
8,Canada,Bachelors,"PHP, C++","Flask, Angular",5000+,115111
40,UK,Bachelors,"Rust, Go","React, ASP.NET",1001-5000,181995
29,Australia,Masters,"JavaScript, C++","Django, Spring",5000+,
18,Australia,Masters,"JavaScript, JavaScript","Laravel, Vue",51-200,102380
6,UK,Bachelor's,"Rust, Ruby","React, Django",11-50,80855
24,France,Bachelors,"C++, Python","Express, Flask",11-50,119604
10,Brazil,PhD,"C++, Go","Vue, Flask",1-10,115930
26,India,Bachelors,"Go, JavaScript","Express, Spring",11-50,76866
18,UK,,"JavaScript, C++","Angular, Flask",5000+,133821
,USA,Masters,"Rust, C#","Ruby on Rails, React",5000+,161285
3,India,Masters,"C++, Java","Ruby on Rails, Laravel",11-50,40616
18,USA,Bachelors,"Swift, C#","Laravel, Spring",51-200,162895
28,USA,Bachelors,"Java, Java","Spring, Vue",1001-5000,179757
33,UK,Masters,"Swift, Rust","Angular, Angular",201-1000,165507
10,Canada,Bachelors,"C++, Ruby","Spring, Angular",1001-5000,94473
31,USA,Some College,"Swift, Rust","Angular, React",11-50,164326
12,USA,High School,"Python, Python","Laravel, Vue",11-50,103503
,USA,Masters,,"Spring, React",1001-5000,157963
40,UK,Bachelors,"Ruby, Ruby","Ruby on Rails, Express",51-200,151646
14,USA,Some College,"PHP, C#","React, Spring",5000+,132530
36,Canada,Some College,"PHP, Python","Vue, ASP.NET",11-50,193703
35,USA,PhD,"Go, C#","Ruby on Rails, Flask",201-1000,195150
27,Australia,,"Ruby, PHP","React, Spring",51-200,112218
26,USA,Bachelors,"JavaScript, C++","Spring, Vue",11-50,178290
15,Canada,Bachelors,"C++, C++","React, Spring",5000+,1441235
1,France,Bachelors,"C#, PHP","Spring, Ruby on Rails",1-10,57834
32,USA,,"PHP, JavaScript","Laravel, Laravel",201-1000,154802
32,Australia,Bachelors,"C++, Java","Vue, Vue",5000+,134655
29,India,Masters,"C++, C++","Flask, Flask",201-1000,117282
-3,germany,High School,"Swift, Go","Express, Spring",201-1000,117432
31,Canada,,"Python, PHP","Vue, Django",1-10,
38,Germany,Bachelors,"JavaScript, C++","React, Django",5000+,198033
6,UK,Bachelors,"JavaScript, Swift",,1-10,86202
39,India,Masters,"Go, C#","Laravel, Flask",1001-5000,138323
37,Canada,PhD,"PHP, C#","Laravel, Express",51-200,200720
30,USA,Bachelors,"Rust, Java","Express, Laravel",201-1000,151925
40,Canada,Bachelors,"Go, C++","Vue, Express",1001-5000,177334
21,UK,Some College,"PHP, Rust","ASP.NET, Express",201-1000,121672
14,India,Some College,,"Laravel, Vue",5000+,62641
21,GERMANY,Bachelors,"JavaScript, Java","Flask, Vue",201-1000,113395
34,France,Masters,"C#, Rust","Express, Flask",1001-5000,162623
24,UK,Bachelors,,"React, ASP.NET",1001-5000,114602
12,USA,Masters,"Python, Go",,1-10,136041
11,USA,Masters,"C++, C++","Ruby on Rails, React",11-50,?
40,USA,Masters,"JavaScript, JavaScript","Ruby on Rails, Vue",1001-5000,177466
10,USA,Some College,"Python, Rust","Ruby on Rails, React",1-10,115374
12,India,PhD,"Go, Swift","React, Laravel",1001-5000,69465
32,Germany,Bachelor's,,"React, Spring",1001-5000,173228
19,USA,Bachelor's,"Go, Java","Spring, Flask",201-1000,163406
25,Singapore,Bachelors,"Swift, Ruby","Laravel, React",1-10,111709
11,USA,High School,,"Express, Vue",5000+,155458
15,USA,Masters,"Go, PHP","Ruby on Rails, Laravel",5000+,144637
,France,Some College,"Ruby, PHP","Flask, React",11-50,69616
5,Australia,Bachelors,"JavaScript, Go","Laravel, Ruby on Rails",1-10,65036
16,UK,Bachelors,,"Spring, Vue",51-200,95996
,India,Masters,"Swift, Java","Ruby on Rails, React",51-200,-20476
32,USA,,"C#, Java",,51-200,189142
26,Canada,Bachelors,"Java, Go","Spring, Angular",51-200,161260
16,USA,PhD,"Python, Swift","Spring, Spring",201-1000,170169
32,Germany,Masters,"C#, C++","Express, Express",1-10,178397
3,France,PhD,"PHP, Swift","Express, Spring",51-200,66586
15,UK,Bachelors,"C#, Ruby","Laravel, Flask",201-1000,122518
4,Singapore,Bachelors,"Rust, C#","Express, Laravel",1001-5000,
6,Canada,PhD,"Ruby, Swift","React, Django",11-50,80265
24,France,Bachelors,"Rust, Go","Ruby on Rails, Spring",11-50,116637
36,USA,Masters,"Swift, Swift","ASP.NET, Vue",1-10,234999
40,USA,PhD,"Java, Rust","Flask, Spring",1001-5000,212861
,Germany,Masters,"C#, Ruby","Django, Express",1-10,125871
13,USA,,,"Laravel, Django",201-1000,143408
21,japan,Masters,"Python, Ruby","Angular, Angular",5000+,111669
8,USA,Masters,"PHP, C++","Spring, Django",11-50,137956
18,France,Masters,"Swift, Swift","Express, Angular",11-50,104964
,USA,Some College,"Ruby, Swift","Vue, Ruby on Rails",1001-5000,199982
23,USA,,"Ruby, Go","Django, Angular",11-50,146250
27,Canada,Bachelors,,"Angular, Django",51-200,
11,UK,Bachelors,"Python, JavaScript","Ruby on Rails, Flask",11-50,109039
,USA,Bachelors,"Python, Python","Ruby on Rails, Vue",1001-5000,
13,Australia,Bachelors,"Go, JavaScript","Spring, Django",5000+,85431
24,USA,Masters,"Go, Python","Flask, Laravel",5000+,155887
,USA,PhD,"Java, Go","Express, Django",5000+,218028
19,USA,Masters,"Python, Ruby","Angular, ASP.NET",201-1000,157086
,USA,SomeCollege,"Go, PHP",,1001-5000,192013
,USA,Some College,,"ASP.NET, Spring",1001-5000,
12,India,Bachelors,"Swift, Java","Django, Vue",5000+,53077
40,France,Masters,"PHP, C#","Django, Laravel",1-10,177314
6,U.K.,Masters,"Java, Java","React, Vue",5000+,
4,USA,,"JavaScript, Swift","Flask, Ruby on Rails",51-200,95431
0,USA,Masters,"JavaScript, Go","Laravel, Express",11-50,94927
17,India,Bachelors,"Java, Ruby","Angular, Express",11-50,66538
5,Brazil,Masters,"C#, Ruby","Flask, React",1-10,76876
9,UK,Masters,"C++, Swift","Express, Django",201-1000,88212
13,UK,Masters,"C#, Rust","Django, Express",1-10,99504
18,UK,High School,"Python, PHP","Spring, Spring",1001-5000,N/A
27,INDIA,High School,"JavaScript, Ruby",,5000+,
4,India,Masters,,"Express, Express",51-200,44023
0,Canada,Bachelors,"C++, Rust","React, React",11-50,65117
31,Japan,Masters,"Swift, JavaScript","Angular, Laravel",201-1000,165533
16,UK,Masters,"Rust, Swift","Flask, Angular",5000+,141258
1,Canada,Bachelors,"Python, C++","Express, Django",51-200,53387
18,UK,High School,"Python, Go","Django, Flask",51-200,104505
,france,Bachelors,"C#, Ruby","Ruby on Rails, Flask",51-200,47317
40,Brazil,High School,"Go, Python","Django, ASP.NET",1-10,159940
38,Australia,High School,"Python, C#","Spring, Flask",1-10,
34,USA,,"Java, Python",,11-50,208851
40,USA,,"Go, C#","React, Express",5000+,236297
,USA,Bachelors,"Ruby, C#","Angular, React",5000+,139272
,India,Bachelors,"Swift, C++","Spring, Laravel",5000+,75556
35,Canada,Bachelors,"Go, Java","Laravel, Express",1001-5000,197894
,India,Bachelors,"Ruby, Go","Spring, Ruby on Rails",1001-5000,27391
,Canada,PhD,"C#, Swift","Laravel, Flask",1-10,80001
6,Japan,Masters,"Java, Java","ASP.NET, Flask",1001-5000,
37,USA,Bachelors,"Swift, PHP",,11-50,182900
15,Singapore,Bachelors,"C#, Python","Flask, Vue",51-200,111004
18,USA,Bachelors,"C++, Go","Django, Laravel",51-200,116541
29,UK,Bachelors,"C++, Go","ASP.NET, Spring",11-50,174565
,USA,Bachelors,"Python, C#","ASP.NET, Spring",51-200,130043
36,France,Masters,"Rust, Swift","Express, Angular",1-10,142813
2,India,Bachelors,"Rust, JavaScript","Angular, Express",1-10,22045
30,INDIA,High School,"Ruby, Python","Ruby on Rails, Spring",11-50,84336
,Germany,Masters,"Go, JavaScript","React, Flask",1001-5000,80322
19,USA,Masters,"C#, Python","Ruby on Rails, Spring",51-200,
40,Canada,Bachelors,"Rust, C++","ASP.NET, Angular",1001-5000,168232
27,Canada,Bachelors,"JavaScript, Go","Express, Vue",201-1000,137339
4,UK,Bachelors,"Java, PHP","Ruby on Rails, Spring",1001-5000,72009
6,Canada,Bachelors,"C++, Python","Ruby on Rails, Spring",201-1000,71304
39,USA,Bachelor,"Python, Ruby","ASP.NET, Express",11-50,198911
23,USA,Masters,"Python, Swift","Django, Vue",201-1000,136184
31,France,Bachelors,"Java, C#","Flask, Ruby on Rails",51-200,150322
,France,Bachelors,"Python, Java","Django, ASP.NET",1-10,77325
,Germany,Bachelors,"Ruby, Swift","ASP.NET, React",1-10,71169
34,Germany,,,"Flask, Angular",1001-5000,152867
,UK,Bachelors,"Python, Swift","Ruby on Rails, Angular",11-50,104729
7,USA,High School,"JavaScript, Java","Spring, Spring",51-200,114667
17,Germany,Bachelors,"JavaScript, Go","Vue, Spring",1001-5000,126523
28,USA,Bachelors,"Go, Swift","Express, Flask",5000+,177012
21,Australia,PhD,,,201-1000,
8,USA,Bachelors,"Rust, Java","Laravel, Laravel",5000+,
31,USA,High School,"Ruby, PHP","Angular, ASP.NET",11-50,150478
3,France,Bachelors,"Ruby, PHP","ASP.NET, ASP.NET",1-10,55684
,Germany,,"PHP, PHP","React, Laravel",5000+,
39,UK,Masters,"C#, Java","Spring, Laravel",5000+,187057
6,Canada,Masters,"Python, Swift","ASP.NET, Express",201-1000,87473
29,Australia,Bachelors,"Ruby, Go",,11-50,146297
12,UK,Masters,"C++, JavaScript","Spring, Spring",1001-5000,122704
5,Brazil,Bachelors,"JavaScript, C++","Ruby on Rails, Spring",201-1000,65609
35,India,Masters,"C++, JavaScript","React, Ruby on Rails",201-1000,133213
39,UK,Masters,"Rust, C#","Ruby on Rails, Flask",51-200,207741
,USA,Some College,"Ruby, Swift","Flask, ASP.NET",201-1000,155748
34,Canada,Some College,"Ruby, C++","React, Ruby on Rails",201-1000,?
30,Germany,Bachelors,"Python, C++","Django, Flask",5000+,163204
26,India,Bachelors,"C++, PHP","React, Express",1-10,83987
-,Singapore,Masters,"Go, C#","Angular, ASP.NET",201-1000,137016
33,Germany,Bachelors,"JavaScript, PHP","Vue, Angular",1-10,148070
15,USA,Masters,"JavaScript, Go","React, Ruby on Rails",51-200,116290
4,France,Bachelors,"Python, Swift","ASP.NET, Laravel",51-200,56230
19,Germany,Masters,"C++, Python","Angular, Django",201-1000,126830
37,uk,Bachelors,,"Ruby on Rails, React",201-1000,146261
23,USA,Masters,"Rust, Python","Laravel, React",5000+,214615
27,Australia,High School,"JavaScript, Rust","ASP.NET, Flask",1001-5000,116914
14,Germany,,"Rust, Ruby","Angular, Vue",1001-5000,102508
31,UK,Bachelors,"Swift, Java","Django, Angular",1001-5000,137400
19,Japan,Bachelors,"Ruby, Rust","Flask, Express",5000+,113624
40,  Canada  ,Bachelors,"Go, PHP","ASP.NET, Angular",5000+,199515
28,USA,PhD,"Java, Rust","Vue, ASP.NET",11-50,225457
35,Germany,Bachelors,"JavaScript, Rust","Flask, Angular",5000+,163555
,Japan,,"C++, Python","Ruby on Rails, Spring",201-1000,108882
36,USA,Bachelors,"PHP, Java","Flask, React",201-1000,205931
5,France,Masters,"C#, C++","Vue, Laravel",51-200,76146
18,USA,Masters,"Swift, JavaScript","ASP.NET, Laravel",51-200,167065
21,USA,Masters,"PHP, Java","Express, Flask",5000+,187336
35,USA,Bachelors,"C++, C#","Flask, Django",51-200,193415
31,France,Bachelors,"C++, Python","Laravel, Ruby on Rails",51-200,167756
34,Singapore,High School,"Go, C#","Laravel, ASP.NET",5000+,135397
34,USA,Bachelors,"Rust, C#","Laravel, React",1-10,198910
9,India,Some College,"Ruby, Ruby","Ruby on Rails, Vue",11-50,41466
5,France,Bachelors,"C#, Java","Spring, Ruby on Rails",11-50,55864
11,Germany,Masters,"PHP, Java","Ruby on Rails, Express",1001-5000,113225
2,India,Masters,,"Express, Vue",1001-5000,27309
34,Australia,PhD,"Python, Go","Express, Express",11-50,184045
28,USA,PhD,"Ruby, Swift","Angular, Ruby on Rails",51-200,227602
